date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2022-10-28,14.2,10.57,11.14,8.1,,,100,91.3,85,70,10.6,9.1,9.2,7.8,18,10.54,11.5,5,,,102.31,101.91,101.77,101.24,102.28,101.89,101.74,101.21,24100,22766.7,20100,16100,2.5,2,1.8,1,6.9,0,6.1,4.1,1.1,2.1,2.1,0,,07:54:00,17:59:00,10.08,7.9,17.98,2,2,12,12,9,10,,,,,,8,6.5,5.5,3,,,,
2022-10-27,12.2,10.51,10.25,8.3,,,100,97.8,93,86,11.2,10.2,10.1,8.9,38,22.83,20,2,55,14,101.67,101.23,101.31,100.96,101.64,101.21,101.28,100.93,24100,14550,13650,3200,2.4,1.9,1.8,1.3,7.8,0,5.2,3.2,0.2,17,17,0,,07:52:00,18:00:00,10.13,7.87,18,1,1,11,11,7,7,,,,,,8,8,7.5,7,,,,
2022-10-26,10.2,8.18,7.44,4.7,,,100,90.8,85,70,8.6,6.7,6.7,4.8,28,14.46,18.5,9,39,29,101.88,101.63,101.47,101.05,101.85,101.6,101.43,101.01,48300,30237.5,30600,12900,2,1.7,1.6,1.2,10.6,0,2.4,0.4,0,4.3,4.3,0,,07:50:00,18:02:00,10.2,7.83,18.03,2,2,11,11,9,9,,,,,,8,6.8,5.5,3,,,,
2022-10-25,10.2,8.86,8.8,7.4,,,100,97.5,93.5,87,9.4,8.5,8.3,7.3,32,16.62,20,8,49,11,101.96,101.41,101.36,100.75,101.93,101.39,101.33,100.72,32200,22050,18500,4800,2.3,1.7,1.6,1,9.2,0,3.8,1.8,0,17.2,17.2,0,,07:49:00,18:04:00,10.25,7.82,18.07,,,11,11,6,7,,,,,,8,8,7.5,7,,,,
2022-10-24,13.3,9.51,10.35,7.4,,,100,94.5,86,72,10.4,8.6,9,7.6,32,19.21,18.5,5,48,26,101.81,101.36,101.45,101.09,101.79,101.33,101.43,101.07,32200,22845.8,18500,4800,2.3,1.7,1.8,1.3,7.7,0,5.3,3.4,0.4,13,13,0,,07:47:00,18:06:00,10.32,7.78,18.1,2,2,12,12,7,8,,,,,,8,6.4,4.5,1,,,,
2022-10-23,11.9,8.7,7.6,3.3,,,100,89.3,83,66,8.6,6.9,6.2,3.8,16,10.21,9.5,3,,,102.09,101.84,101.7,101.32,102.06,101.81,101.67,101.29,24100,21966.7,21700,19300,2.1,1.5,1.6,1,10.4,0,2.6,0.6,0,6.7,6.7,0,,07:46:00,18:08:00,10.37,7.77,18.13,2,2,12,12,9,9,,,,,,8,6.9,4.5,1,,,,
2022-10-22,12.3,8.88,9.05,5.8,,,100,92,85.5,71,9.1,7.6,7.5,6,12,7.33,6.5,1,,,101.27,100.76,100.84,100.42,101.24,100.73,100.81,100.39,24100,19833.3,17700,11300,2.3,1.6,1.6,1,8.9,0,4,2,0,0.2,0.2,0,,07:44:00,18:10:00,10.43,7.73,18.17,2,2,12,12,5,6,,,,,,8,5.6,4.5,1,,,,
2022-10-21,13,9.98,10.3,7.6,,,100,84.1,83,66,8.7,7.3,7.2,5.6,35,12.88,18,1,47,28,101.36,100.91,100.89,100.43,101.33,100.88,100.87,100.4,24100,21166.7,16100,8100,2.5,2,1.8,1.2,7.7,0,5.3,3.3,0.3,1.4,1.4,0,,07:43:00,18:11:00,10.47,7.72,18.18,1,1,10,10,6,7,,,,,,8,7.4,6,4,,,,
2022-10-20,17.1,13.11,13.15,9.2,,,100,84.5,78.5,57,13.4,10.3,9.9,6.4,22,10.5,12,2,42,29,102.21,101.78,101.78,101.35,102.18,101.75,101.74,101.31,32200,17075,18500,4800,8,3.6,5,1.9,4.8,0,8.2,6.2,3.1,0,0,0,,07:41:00,18:13:00,10.53,7.68,18.22,2,2,15,15,10,10,,,,,,8,6.1,5.5,3,,,,
2022-10-19,13.9,10.46,9.85,5.8,,,100,100,99.5,99,13.6,10.5,10.4,7.2,10,5.58,6,2,,,102.76,102.54,102.49,102.22,102.73,102.51,102.46,102.19,24100,12016.7,12850,1600,11,6.8,7,2.9,8.2,0,4.8,2.8,0,0,0,0,,07:39:00,18:15:00,10.6,7.65,18.25,3,3,18,18,8,8,,,,,,7,3.3,3.5,0,,,,
2022-10-18,16.6,11.88,11.8,7,,,100,94,87.5,75,13.4,10.8,10.8,8.2,11,6.04,6,1,,,102.58,102.33,102.33,102.09,102.55,102.3,102.31,102.06,19300,11487.5,11450,3600,11,6,6.5,2,6.2,0,6.8,4.8,1.8,0,0,0,,07:38:00,18:17:00,10.65,7.63,18.28,3,3,18,18,11,11,,,,,,6,1.9,3,0,,,,
2022-10-17,18.2,13.54,14.14,10.1,,,100,87.5,84.5,69,12.7,11.4,11.2,9.8,22,14.33,13.5,5,30,12,102.08,101.93,101.87,101.65,102.04,101.9,101.83,101.62,24100,21366.7,20100,16100,5,3.1,3.5,2,3.9,0,9.1,7.1,4.1,0,0,0,,07:36:00,18:19:00,10.72,7.6,18.32,3,3,17,17,8,8,,,,,,7,3.8,4,1,,,,
2022-10-16,20.2,12.84,13.1,6,,,100,82.3,74,48,13.6,9.5,10.1,6.6,19,6.04,10,1,,,101.58,101.45,101.44,101.3,101.55,101.42,101.41,101.26,24100,21633.3,20100,16100,5,3,3.2,1.5,4.9,0,8.1,6.1,3.1,0,0,0,,07:35:00,18:21:00,10.77,7.58,18.35,3,3,20,20,8,10,,,,,,2,0.8,1,0,,,,
2022-10-15,17.7,12.52,12.05,6.4,,,100,92.3,86.5,73,13.3,11.2,10.7,8,19,8.58,10,1,,,101.67,101.54,101.53,101.4,101.63,101.51,101.49,101.36,32200,27279.2,24150,16100,4,2.6,3,1.9,6,0,7,5,2,0,0,0,,07:33:00,18:23:00,10.83,7.55,18.38,3,3,19,19,11,11,,,,,,4,1.2,2,0,,,,
2022-10-14,18.3,12.75,12.35,6.4,,,100,90.8,83.5,67,13.1,11.2,10.6,8,16,6.04,8.5,1,,,101.86,101.7,101.67,101.49,101.83,101.67,101.64,101.45,24100,22029.2,13650,3200,6,2.8,3.6,1.3,5.7,0,7.3,5.3,2.4,0,0,0,,07:32:00,18:25:00,10.88,7.53,18.42,3,3,18,18,10,11,,,,,,6,2.1,3,0,,,,
2022-10-13,17.7,12.45,11.89,6.1,,,100,93.4,85,70,13.2,11.3,10.9,8.6,16,6.21,8.5,1,,,102.31,102.12,102.08,101.86,102.29,102.09,102.06,101.83,32200,30175,28150,24100,3.6,2.1,2.4,1.1,6.1,0,6.9,4.9,1.9,0,0,0,,07:30:00,18:27:00,10.95,7.5,18.45,3,3,16,18,9,9,,,,,,3,1.3,1.5,0,,,,
2022-10-12,16,11.52,10.95,5.9,,,100,93.2,87.5,75,12.3,10.4,9.4,6.6,22,10.71,12,2,,,102.57,102.42,102.41,102.25,102.54,102.38,102.38,102.22,48300,39912.5,40250,32200,3.1,1.9,2,1,7,0,6,4,0.9,0,0,0,,07:28:00,18:29:00,11.02,7.47,18.48,3,3,18,18,8,9,,,,,,5,1.1,2.5,0,,,,
2022-10-11,16.5,12.21,12.55,8.6,,,100,87,84,68,10.8,10,9.7,8.6,27,11.29,15.5,4,56,29,102.4,102.23,102.09,101.78,102.38,102.2,102.06,101.75,72400,40247.8,52300,32200,2.5,1.8,1.8,1.1,5.5,0,7.5,5.5,2.5,0,0,0,,07:27:00,18:31:00,11.07,7.45,18.52,4,4,18,18,8,9,,,,,,3,0.8,1.5,0,,,,
2022-10-10,19.1,14.09,14.3,9.5,,,100,86.1,81,62,14.4,11.6,11.4,8.4,44,18.21,24,4,63,29,101.84,101.63,101.62,101.41,101.81,101.6,101.6,101.39,48300,39241.7,40250,32200,4,1.8,2.5,1,3.7,0,9.3,7.3,4.3,0,0,0,,07:25:00,18:33:00,11.13,7.42,18.55,4,4,19,19,9,9,,,,,,8,3.8,4,0,,,,
2022-10-09,18.4,14.47,14.39,10.4,,,100,95.2,89,78,15.4,13.7,13.4,11.5,22,9.58,11.5,1,,,102.2,102.02,102.02,101.84,102.17,101.99,101.99,101.81,32200,25925,25750,19300,3.7,2.1,2.5,1.3,3.6,0,9.4,7.4,4.4,0,0,0,,07:24:00,18:35:00,11.18,7.4,18.58,4,5,20,20,10,10,,,,,,5,1.9,2.5,0,,,,
2022-10-08,19.4,14.74,14.25,9.1,,,100,93.3,87.5,75,15.8,13.6,13,10.2,20,8.08,10.5,1,,,102.31,102.14,102.12,101.93,102.28,102.11,102.09,101.9,24100,22633.3,20100,16100,4,2.5,2.8,1.6,3.8,0,9.2,7.2,4.2,0,0,0,,07:22:00,18:37:00,11.25,7.37,18.62,4,4,21,21,10,10,,,,,,3,1.5,1.5,0,,,,
2022-10-07,20.4,15.5,15.2,10,,,100,93.2,84.5,69,16.3,14.3,13.8,11.4,10,6.12,5.5,1,,,102.35,102.18,102.2,102.06,102.32,102.15,102.17,102.03,24100,22566.7,20100,16100,4.3,2.6,2.8,1.3,2.8,0,10.2,8.2,5.2,0,0,0,,07:21:00,18:39:00,11.3,7.35,18.65,4,4,20,20,11,11,,,,,,8,4.6,5,2,,,,
2022-10-06,19.4,14.57,14,8.6,,,100,94.3,89.5,79,16,13.6,12.9,9.9,18,7.62,9.5,1,,,102.24,102.1,102.06,101.89,102.21,102.06,102.03,101.85,24100,21366.7,17700,11300,4.4,2.5,2.8,1.1,4,0,9,7,4,0,0,0,,07:19:00,18:42:00,11.38,7.32,18.7,4,4,20,20,12,12,,,,,,8,4.7,4.5,1,,,,
